,source_TD_label,source_Network,source_coordX,source_coordY,source_coordZ,target_TD_label,target_Network,target_coordX,target_coordY,target_coordZ,value
0,mFG,CON,-4,4,52,Insula,Auditory,32,-28,12,0.73
1,IPL,CON,56,-28,32,Insula,Auditory,32,-28,12,0.67
2,SFG,CON,20,-8,64,Insula,Auditory,32,-28,12,0.74
3,SFG,CON,-16,-4,72,mFG,CON,-4,4,52,0.68
4,SFG,CON,-16,-4,72,IPL,CON,56,-28,32,0.71
5,CG,CON,-12,-4,44,Insula,Auditory,32,-28,12,0.71
6,CG,CON,-12,-4,44,SFG,CON,-16,-4,72,0.68
7,LN,CON,36,0,-4,Insula,Auditory,32,-28,12,0.69
8,LN,CON,36,0,-4,IPL,CON,56,-28,32,0.68
9,MTG,DMN,-40,-76,24,Insula,Auditory,32,-28,12,0.79
10,MTG,DMN,-40,-76,24,Insula,Auditory,64,-32,20,0.74
11,MTG,DMN,-40,-76,24,Transverse Temporal,Auditory,56,-16,8,0.69
12,MTG,DMN,-40,-76,24,STG,Auditory,-40,-32,16,0.71
13,MTG,DMN,-40,-76,24,STG,Auditory,-48,-28,4,0.69
14,MTG,DMN,-40,-76,24,SFG,CON,-16,-4,72,0.74
15,mFG,DMN,4,68,-4,Insula,Auditory,32,-28,12,0.77
16,mFG,DMN,4,68,-4,SFG,CON,-16,-4,72,0.71
17,mFG,DMN,8,48,-16,mFG,CON,-4,4,52,0.78
18,mFG,DMN,8,48,-16,IPL,CON,56,-28,32,0.73
19,mFG,DMN,8,48,-16,SFG,CON,20,-8,64,0.76
20,mFG,DMN,8,48,-16,CG,CON,-12,-4,44,0.73
21,mFG,DMN,8,48,-16,MTG,DMN,-40,-76,24,0.75
22,mFG,DMN,8,48,-16,mFG,DMN,4,68,-4,0.74
23,PHG,DMN,-12,-40,0,mFG,CON,-4,4,52,0.77
24,PHG,DMN,-12,-40,0,IPL,CON,56,-28,32,0.73
25,PHG,DMN,-12,-40,0,SFG,CON,20,-8,64,0.75
26,PHG,DMN,-12,-40,0,CG,CON,-12,-4,44,0.68
27,PHG,DMN,-12,-40,0,MTG,DMN,-40,-76,24,0.76
28,PHG,DMN,-12,-40,0,mFG,DMN,4,68,-4,0.74
29,mFG,DMN,-16,64,-8,mFG,CON,-4,4,52,0.7
30,mFG,DMN,-16,64,-8,IPL,CON,56,-28,32,0.68
31,mFG,DMN,-16,64,-8,SFG,CON,20,-8,64,0.69
32,mFG,DMN,-16,64,-8,MTG,DMN,-40,-76,24,0.72
33,mFG,DMN,-16,64,-8,mFG,DMN,4,68,-4,0.71
34,MTG,DMN,-44,-60,20,Insula,Auditory,44,-24,20,0.69
