,source_TD_label,source_Network,source_coordX,source_coordY,source_coordZ,target_TD_label,target_Network,target_coordX,target_coordY,target_coordZ,value
0,STG,Auditory,-40,-32,16,Insula,Auditory,64,-32,20,0.35
1,STG,Auditory,-60,-24,12,Insula,Auditory,32,-28,12,0.3
2,STG,Auditory,-60,-24,12,Insula,Auditory,64,-32,20,0.37
3,STG,Auditory,-48,-28,4,Insula,Auditory,64,-32,20,0.33
4,PostCent,Auditory,60,-16,28,Insula,Auditory,-48,-36,24,0.29
5,Insula,Auditory,-32,-28,12,Insula,Auditory,32,-28,12,0.28
6,Insula,Auditory,-32,-28,12,Insula,Auditory,64,-32,20,0.29
7,mFG,CON,-4,4,52,Insula,Auditory,32,-28,12,0.31
8,IPL,CON,56,-28,32,STG,Auditory,-60,-24,12,0.31
9,IPL,CON,56,-28,32,mFG,CON,-4,4,52,0.34
10,SFG,CON,20,-8,64,Insula,Auditory,32,-28,12,0.33
11,SFG,CON,20,-8,64,Insula,Auditory,64,-32,20,0.37
12,SFG,CON,20,-8,64,Transverse Temporal,Auditory,56,-16,8,0.35
13,SFG,CON,-16,-4,72,Insula,Auditory,32,-28,12,0.29
14,SFG,CON,-16,-4,72,Insula,Auditory,64,-32,20,0.31
15,SFG,CON,-16,-4,72,Transverse Temporal,Auditory,56,-16,8,0.28
16,SFG,CON,-16,-4,72,Insula,Auditory,44,-24,20,0.3
17,SFG,CON,-16,-4,72,PostCent,Auditory,60,-16,28,0.28
18,CG,CON,-12,-4,44,Insula,Auditory,-32,-28,12,0.28
19,LN,CON,36,0,-4,Insula,Auditory,-48,-36,24,0.29
20,LN,CON,36,0,-4,PreCent,Auditory,-56,-8,12,0.35
21,LN,CON,36,0,-4,SFG,CON,20,-8,64,0.32
22,LN,CON,36,0,-4,SFG,CON,-16,-4,72,0.28
23,SFG,CON,12,0,68,mFG,CON,-4,4,52,0.29
24,mFG,DMN,4,68,-4,Insula,Auditory,32,-28,12,0.31
25,mFG,DMN,4,68,-4,Insula,Auditory,64,-32,20,0.29
26,mFG,DMN,4,68,-4,IPL,CON,56,-28,32,0.32
27,mFG,DMN,8,48,-16,Insula,Auditory,32,-28,12,0.37
28,mFG,DMN,8,48,-16,Transverse Temporal,Auditory,56,-16,8,0.32
29,mFG,DMN,8,48,-16,Insula,Auditory,-52,-20,24,0.39
30,mFG,DMN,8,48,-16,PreCent,Auditory,56,-4,12,0.34
31,mFG,DMN,8,48,-16,IPL,CON,56,-28,32,0.41
32,mFG,DMN,-16,64,-8,STG,Auditory,-40,-32,16,0.43
33,mFG,DMN,-16,64,-8,STG,Auditory,-60,-24,12,0.31
34,mFG,DMN,-16,64,-8,STG,Auditory,-48,-28,4,0.28
35,mFG,DMN,-16,64,-8,MTG,DMN,-40,-76,24,0.37
36,mFG,DMN,-16,64,-8,mFG,DMN,8,48,-16,0.29
37,mFG,DMN,-16,64,-8,PHG,DMN,-12,-40,0,0.32
38,MTG,DMN,44,-72,28,Insula,Auditory,32,-28,12,0.3
39,MTG,DMN,44,-72,28,Insula,Auditory,64,-32,20,0.29
40,MTG,DMN,44,-72,28,IPL,CON,56,-28,32,0.29
41,STG,DMN,-44,12,-36,Insula,Auditory,64,-32,20,0.28
42,STG,DMN,-44,12,-36,Insula,Auditory,44,-24,20,0.28
43,STG,DMN,-44,12,-36,Insula,Auditory,-52,-20,24,0.31
